N	Time	Hours	Freq(kHz)	Amp	KK	R(km)	AntAz(grad)	AntEl(grad)	NORAD	Name
1	12:47:19.313	12.788698	158412	0.006567	0.364898	601.889337	14.947666	-10.326020	46566	STARLINK-1740
2	12:47:19.372	12.788714	158462	0.006926	0.352187	601.696637	14.936053	-9.926048	46566	STARLINK-1740
3	12:47:20.320	12.788978	158362	0.007046	0.452593	599.516358	14.897836	-9.545210	46566	STARLINK-1740
4	12:47:20.362	12.788989	158412	0.009237	0.477624	599.407502	14.909263	-9.568762	46566	STARLINK-1740
5	12:47:21.343	12.789262	158362	0.010678	0.551442	597.178348	14.844122	-8.929048	46566	STARLINK-1740
6	12:47:22.415	12.789560	158362	0.010433	0.523446	594.840909	14.821115	-8.003558	46566	STARLINK-1740
7	12:47:22.468	12.789574	158412	0.013003	0.655746	594.603196	14.809526	-8.095404	46566	STARLINK-1740
8	12:47:23.372	12.789826	158312	0.014236	0.669715	592.714190	14.733091	-7.255299	46566	STARLINK-1740
9	12:47:23.449	12.789847	158362	0.014339	0.673211	592.564965	14.752147	-7.353422	46566	STARLINK-1740
10	12:47:23.570	12.789881	158462	0.014992	0.693741	592.233843	14.751968	-7.289145	46566	STARLINK-1740
11	12:47:24.425	12.790118	158262	0.015131	0.662051	590.486612	14.652837	-6.586561	46566	STARLINK-1740
12	12:47:24.481	12.790134	158312	0.018314	0.759248	590.398853	14.694820	-6.510595	46566	STARLINK-1740
13	12:47:24.607	12.790169	158362	0.018361	0.778521	590.152450	14.690905	-6.453915	46566	STARLINK-1740
14	12:47:24.764	12.790212	158412	0.019200	0.779428	589.765905	14.686990	-6.383118	46566	STARLINK-1740
15	12:47:25.654	12.790459	158262	0.020814	0.797052	588.089074	14.606972	-5.631236	46566	STARLINK-1740
16	12:47:25.829	12.790508	158412	0.022820	0.827264	587.668600	14.641100	-5.545945	46566	STARLINK-1740
17	12:47:26.831	12.790786	158362	0.025156	0.841064	585.815324	14.576236	-4.746606	46566	STARLINK-1740
18	12:47:26.913	12.790809	158412	0.025798	0.867206	585.593622	14.572328	-4.682579	46566	STARLINK-1740
19	12:47:27.830	12.791064	158262	0.026523	0.864677	584.050562	14.515343	-4.111369	46566	STARLINK-1740
20	12:47:27.948	12.791097	158312	0.027403	0.876962	583.782489	14.526700	-3.889106	46566	STARLINK-1740
21	12:47:28.002	12.791112	158362	0.029231	0.891595	583.690100	14.522796	-3.870144	46566	STARLINK-1740
22	12:47:28.120	12.791144	158362	0.029004	0.878694	583.406666	14.511261	-3.818000	46566	STARLINK-1740
23	12:47:29.057	12.791405	158412	0.028924	0.879964	581.930916	14.446708	-3.111301	46566	STARLINK-1740
24	12:47:29.135	12.791426	158262	0.028398	0.876851	581.738006	14.450430	-3.125376	46566	STARLINK-1740
25	12:47:29.230	12.791453	158312	0.027637	0.872878	581.489677	14.450252	-3.004921	46566	STARLINK-1740
26	12:47:30.110	12.791697	158412	0.025960	0.858826	580.165758	14.385761	-2.423817	46566	STARLINK-1740
27	12:47:30.307	12.791752	158262	0.024459	0.848465	579.736273	14.396918	-2.251439	46566	STARLINK-1740
28	12:47:31.193	12.791998	158412	0.020558	0.790518	578.495893	14.313552	-1.626499	46566	STARLINK-1740
29	12:47:31.323	12.792034	158212	0.020413	0.796890	578.291447	14.309660	-1.691883	46566	STARLINK-1740
30	12:47:31.401	12.792056	158262	0.019457	0.783439	578.080779	14.298164	-1.591462	46566	STARLINK-1740
31	12:47:31.480	12.792078	158312	0.018445	0.762931	577.965107	14.301878	-1.493640	46566	STARLINK-1740
32	12:47:31.559	12.792100	158362	0.016602	0.722646	577.798704	14.336019	-1.460945	46566	STARLINK-1740
33	12:47:32.449	12.792347	158412	0.016239	0.711719	576.648749	14.237537	-0.838476	46566	STARLINK-1740
34	12:47:33.628	12.792674	158212	0.020144	0.784576	575.007820	14.161613	0.006760	46566	STARLINK-1740
35	12:47:34.690	12.792969	158162	0.031408	0.893897	573.673959	14.074500	0.730180	46566	STARLINK-1740
36	12:47:35.777	12.793271	158112	0.036180	0.916464	572.470593	13.995073	1.537605	46566	STARLINK-1740
37	12:47:35.923	12.793312	158212	0.045237	0.943150	572.208164	13.994896	1.666162	46566	STARLINK-1740
38	12:47:36.822	12.793562	158062	0.046074	0.945365	571.362649	13.893071	2.261635	46566	STARLINK-1740
39	12:47:36.934	12.793593	158112	0.047769	0.956348	571.177710	13.911876	2.382695	46566	STARLINK-1740
40	12:47:37.048	12.793624	158162	0.048473	0.949629	570.973252	13.900451	2.433301	46566	STARLINK-1740
41	12:47:37.181	12.793661	158212	0.051911	0.954897	570.816801	13.889029	2.539174	46566	STARLINK-1740
42	12:47:38.132	12.793926	158062	0.058706	0.959604	570.049049	13.810006	3.192474	46566	STARLINK-1740
