N	Time	Hours	Freq(kHz)	Amp	KK	R(km)	AntAz(grad)	AntEl(grad)	NORAD	Name
43	12:47:39.211	12.794225	158062	0.062164	0.962767	569.033342	13.727048	4.054045	46566	STARLINK-1740
44	12:47:39.394	12.794276	158062	0.055516	0.955443	568.756389	13.707945	4.137868	46566	STARLINK-1740
45	12:47:40.198	12.794499	158112	0.057583	0.957466	568.127380	13.647871	4.776876	46566	STARLINK-1740
46	12:47:40.265	12.794518	158112	0.055293	0.952139	568.101488	13.628967	4.814768	46566	STARLINK-1740
47	12:47:41.222	12.794784	158162	0.044474	0.933404	567.500996	13.538899	5.572804	46566	STARLINK-1740
48	12:47:42.173	12.795048	158062	0.042883	0.927333	566.838193	13.475140	6.306174	46566	STARLINK-1740
49	12:47:43.162	12.795323	157962	0.045588	0.924648	566.301621	13.388946	7.056573	46566	STARLINK-1740
50	12:47:43.268	12.795352	157962	0.041729	0.914007	566.145504	13.381273	7.203016	46566	STARLINK-1740
51	12:47:44.411	12.795670	157862	0.031699	0.873010	565.616902	13.268915	7.956460	46566	STARLINK-1740
52	12:47:45.303	12.795917	157962	0.033096	0.860804	565.359673	13.186815	8.706844	46566	STARLINK-1740
53	12:47:46.312	12.796198	157962	0.027447	0.780641	565.060113	13.082250	9.340348	46566	STARLINK-1740
54	12:47:47.264	12.796462	157862	0.027480	0.765520	564.852896	12.940778	9.975423	46566	STARLINK-1740
55	12:47:47.351	12.796486	157912	0.028632	0.772711	564.830028	12.944415	10.095485	46566	STARLINK-1740
56	12:47:48.183	12.796717	157812	0.028891	0.772935	564.729908	12.840405	10.352493	46566	STARLINK-1740
57	12:47:48.246	12.796735	157862	0.030743	0.797967	564.744582	12.851473	10.324106	46566	STARLINK-1740
